dimensione,valore_suggerito,note
appartenenza,+,"bisogno di inclusione, sentirsi parte"
autenticità,=,"essere sé stessi, coerenza personale"
condivisione,+,"relazione, apertura, scambio"
rabbia,-,reazione a ingiustizia o frustrazione
paura,-,"insicurezza, minaccia percepita"
coraggio,+,affrontare il rischio con determinazione
speranza,+,"fiducia nel futuro, luce"
dolore,-,"perdita, ferita emotiva"
rinascita,+,trasformazione dopo crisi
successo personale,+,"realizzazione, crescita"
visibilità,+,desiderio di essere visti e riconosciuti
approvazione,+,bisogno di conferma esterna
autostima,+,valore personale percepito
ansia sociale,-,paura del giudizio
controllo,=,"bisogno di ordine, sicurezza"
giustizia,+,"equità, senso morale forte"
vendetta,-,riscatto aggressivo
perdono,+,rilascio della rabbia
empatia,+,sentire l'altro profondamente
solitudine,-,assenza di connessione
complicità,+,alleanza affettiva
attrazione,+,"desiderio, sensualità"
amore,+,unione profonda
nostalgia,=,richiamo del passato
invidia,-,paragone doloroso
gratitudine,+,riconoscenza per qualcosa ricevuto
spensieratezza,+,leggerezza emotiva
curiosità,+,voglia di scoprire
noia,-,assenza di stimoli
rabbia repressa,-,frustrazione non espressa
entusiasmo,+,energia emotiva in salita
senso della vita,+,ricerca di significato
lasciare traccia,+,voler essere ricordati
fuga,-,desiderio di evasione
libertà,+,"autonomia, indipendenza"
ordine,=,desiderio di struttura
caos,-,disordine emozionale
confusione,=,assenza di direzione chiara
pace interiore,+,equilibrio emotivo
competizione,=,desiderio di superare altri
esibizionismo,-,bisogno eccessivo di apparire
minimalismo,=,riduzione al vero essenziale
estetica,=,bellezza percepita
contatto umano,+,prossimità fisica e affettiva
distacco,-,"chiusura, freddezza"
intimità,+,vicinanza emotiva
paura del rifiuto,-,insicurezza legata al giudizio
colpa,-,emozione morale negativa
autodistruzione,-,sfiducia profonda
sopravvivenza,+,resilienza istintiva
creatività,+,generazione di novità
vocazione,+,sentirsi chiamati
identità,=,chi sono io
vergogna,-,esposizione e giudizio
euforia,+,picco emotivo positivo
esaurimento,-,saturazione emotiva
ribellione,+,sfida alle regole
adattamento,=,resilienza strategica
fiducia,+,credere in sé o negli altri
tradimento,-,rottura di fiducia
riconciliazione,+,riavvicinamento emotivo
autonomia,+,libertà di scelta personale
dipendenza emotiva,-,bisogno eccessivo dell’altro
sfida,+,superamento di ostacoli
pigrizia,-,mancanza di slancio
protezione,+,bisogno di sicurezza affettiva
abbandono,-,assenza e mancanza emotiva
silenzio,=,assenza che può essere pace o vuoto
memoria,=,presenza del passato
rigenerazione,+,"rinascita, pulizia interiore"
impotenza,-,"blocco, incapacità"
potere personale,+,capacità d’azione autonoma
ansia da prestazione,-,pressione eccessiva
inutilità,-,percezione di non valore
scoperta,+,incontro col nuovo
ritmo interiore,=,sintonia con sé stessi
presenza,+,consapevolezza del qui e ora
assenza,-,disconnessione
rottura degli schemi,+,creatività rivoluzionaria
accettazione,+,accogliere ciò che è
empowerment,+,riscatto e potere personale
paura di fallire,-,insicurezza operativa
illusione,=,proiezione non reale
disillusione,-,caduta delle aspettative
meraviglia,+,stupore positivo
vergogna sociale,-,imbarazzo da confronto
gelosia affettiva,-,possesso emotivo
serenità,+,pace interiore
obiettivo,=,"direzione, meta"
sogno,+,proiezione ideale
connessione spirituale,+,unione con qualcosa di più grande
dualità,=,ambivalenza interiore
riflessione,=,pensiero profondo
compensazione,=,riempire un vuoto
attesa,=,tempo sospeso
blocco creativo,-,assenza d’ispirazione
fame d’amore,-,vuoto affettivo
rivincita,+,riscatto emozionale
fede,+,credere oltre la logica
vulnerabilità,=,forza nell’essere esposti
